Player,Tota Cmp,Tota Att,Tota Cmp%,Tota TotDist,Tota PrgDist,Shor Cmp,Shor Att,Shor Cmp%,Medi Cmp,Medi Att,Medi Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
a793f5a8,40.0,40.0,100.0,760.0,10.0,30.0,30.0,100.0,0.0,0.0,,10.0,10.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e33c06cf,70.83,76.5,92.6,1501.0,448.33,20.17,21.0,96.0,37.17,39.33,94.5,12.67,14.83,14.23,0.0,0.02,-0.02,0.17,6.0,0.5,0.17,5.83
d94653be,31.3,41.74,75.0,504.35,124.78,16.96,20.43,83.0,12.17,14.78,82.4,1.74,3.91,19.3,0.0,0.0,0.0,0.0,1.3,0.43,0.0,2.17
73affbb6,12.65,16.76,75.4,174.41,11.47,7.06,9.12,77.4,4.41,5.88,75.0,0.59,0.88,19.62,0.0,0.03,-0.03,0.29,0.0,0.0,0.0,0.29
4e219ad2,32.58,45.48,71.6,593.55,139.03,17.74,19.03,93.2,9.68,15.16,63.8,4.84,8.71,17.94,0.0,0.03,-0.03,0.97,2.58,1.29,0.65,1.94
bd20f4eb,57.04,66.3,86.0,940.37,333.33,27.78,30.74,90.4,20.37,24.81,82.1,5.56,7.04,29.22,0.37,0.15,0.22,1.85,2.96,0.37,0.0,2.96
9614b550,33.4,45.6,73.2,719.2,161.4,7.2,11.0,65.5,21.0,24.4,86.1,4.6,9.6,9.58,0.0,0.2,-0.2,0.8,1.8,0.0,0.0,2.0
c71e97ba,55.64,60.0,92.7,1094.62,164.36,20.77,21.28,97.6,25.9,27.18,95.3,8.46,10.26,21.15,0.0,0.03,-0.03,0.26,3.59,0.0,0.0,2.31
01b8a2b2,22.05,23.97,92.0,479.18,282.33,6.85,6.85,100.0,10.96,10.96,100.0,3.97,5.75,9.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
934e1968,33.04,48.39,68.3,618.75,242.68,14.29,17.86,80.0,12.68,15.89,79.8,4.82,11.07,7.77,0.0,0.16,-0.16,2.32,3.04,1.61,0.36,4.64
