Player,fbref id,transm id,mv
Gerard Pique,adfc9123,18944,20000000
lukasz Piszczek,fe2db476,25727,2000000
Pizzi,96094cbc,64339,21500000
Miralem Pjanic,ad6df2d5,44162,52000000
Daniel Podence,7fcc71d8,256977,12000000
Matteo Politano,5e861944,165895,22500000
Matteo Politano,5e861944,165895,22500000
Marin Pongracic,2a6cd437,282144,7000000
Yussuf Poulsen,d2416c2e,157635,24000000
Quincy Promes,b182a240,182381,17500000
Lukas Provod,8f21b7bd,292779,550000
Christian Pulisic,1bf33a9a,315779,54000000
Andriy Pyatov,34c3b935,39996,1600000
Adrien Rabiot,8794e251,182913,25500000
Rafael,9a1f2e1c,61892,5500000
Ivan Rakitic,89f951b5,32467,20000000
Yaroslav Rakitskiy,47fd5136,89222,8000000
Andre Ramalho,7483d9f9,175792,2400000
Sergio Ramos,08511d65,25557,14500000
Aaron Ramsey,ef619b0b,50057,28000000
Lazar Randelovic,1dbfae2d,512394,1600000
Jeff Reine-Adelaide,d504b3e1,326300,22500000
Francisco Reis Ferreira,4b3c863f,294321,14500000
Loic Remy,5c2da10f,45121,2000000
Panagiotis Retsos,4bd00a50,324351,8000000
Marco Reus,36a3ff67,35207,32000000
Gio Reyna,7fa4e703,504215,13500000
Jander Ribeiro Santana,44865466,199099,475000
Federico Ricca,54f5ce34,285322,2000000
Sergio Rico,5f0241b2,207302,8000000
Mats Rits,733e7ad8,92164,4000000
Sergi Roberto,335fa267,85370,40000000
Andrew Robertson,2e4f5f03,234803,64000000
Milan Rodic,4dedd469,68978,3000000
Rodri,6434f10d,357565,64000000
Rodrigo,1fb1c435,131505,40000000
James Rodriguez,715bf047,88103,32000000
Rodrygo,8f5e92a6,412363,45000000
Cristiano Ronaldo,dea698d9,8198,60000000
Marten de Roon,2a1beb34,133179,19000000
Danny Rose,89d10e53,50174,16000000
Antonio Rudiger,18b896d6,86202,40000000
Daniele Rugani,14b8fcdf,162959,12000000
Mario Rui,0b5a292a,87884,12000000
Fabian Ruiz Pena,c0c7ff58,350219,48000000
Maciej Rybus,86dd16a8,59597,2400000
Jose Sa,903b6e8b,249994,2800000
Marcel Sabitzer,e280527c,106987,32000000
Mohamed Salah,e342ad68,148455,120000000
Andreas Samaris,5af687a1,140032,5500000
Mbwana Samatta,dae8623e,182201,9500000
